intervention,repeat_id,baseline_acc,intervention_acc,delta_acc,removed_edges,target_neurons,control_type,available,unavailable_reason,seed,split,checkpoint,mean_target_expected_out_degree,mean_control_expected_out_degree,mean_abs_degree_gap
random_edges_same_as_top_prob,16,0.7243816254416962,0.7292402826855123,0.004858657243816178,50,,random_same_count,True,,96240290,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,17,0.7243816254416962,0.726148409893993,0.0017667844522968323,50,,random_same_count,True,,343131632,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,18,0.7243816254416962,0.723939929328622,-0.0004416961130742081,50,,random_same_count,True,,2356098874,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,19,0.7243816254416962,0.7252650176678446,0.0008833922261484162,50,,random_same_count,True,,839194397,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
hub_incoming_remove,,0.7243816254416962,0.5291519434628975,-0.19522968197879864,1169,334;53;374;306;288;201;246;59;150;115,target,True,,44,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,0,0.7243816254416962,0.693904593639576,-0.030477031802120136,1169,,random_same_count,True,,2519530229,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,1,0.7243816254416962,0.6952296819787986,-0.02915194346289751,1169,,random_same_count,True,,3232289417,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,2,0.7243816254416962,0.696113074204947,-0.028268551236749206,1169,,random_same_count,True,,4286116430,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,3,0.7243816254416962,0.7128975265017667,-0.01148409893992941,1169,,random_same_count,True,,3310157344,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,4,0.7243816254416962,0.7120141342756183,-0.012367491166077826,1169,,random_same_count,True,,1348763954,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,5,0.7243816254416962,0.691696113074205,-0.032685512367491176,1169,,random_same_count,True,,1414899632,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,6,0.7243816254416962,0.7040636042402827,-0.02031802120141346,1169,,random_same_count,True,,795832240,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,7,0.7243816254416962,0.674469964664311,-0.04991166077738518,1169,,random_same_count,True,,101658518,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,8,0.7243816254416962,0.693904593639576,-0.030477031802120136,1169,,random_same_count,True,,933761529,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,9,0.7243816254416962,0.7009717314487632,-0.023409893992932918,1169,,random_same_count,True,,4028801417,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,10,0.7243816254416962,0.6947879858657244,-0.02959363957597172,1169,,random_same_count,True,,1391352774,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,11,0.7243816254416962,0.6877208480565371,-0.03666077738515905,1169,,random_same_count,True,,1040602832,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,12,0.7243816254416962,0.7000883392226148,-0.024293286219081334,1169,,random_same_count,True,,495205729,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,13,0.7243816254416962,0.6921378091872792,-0.03224381625441697,1169,,random_same_count,True,,105320488,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,14,0.7243816254416962,0.6947879858657244,-0.02959363957597172,1169,,random_same_count,True,,685572522,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,15,0.7243816254416962,0.715547703180212,-0.008833922261484162,1169,,random_same_count,True,,1422894105,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,16,0.7243816254416962,0.7159893992932862,-0.008392226148409954,1169,,random_same_count,True,,543372588,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,17,0.7243816254416962,0.6890459363957597,-0.035335689045936425,1169,,random_same_count,True,,376276213,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,18,0.7243816254416962,0.7120141342756183,-0.012367491166077826,1169,,random_same_count,True,,3214672528,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,19,0.7243816254416962,0.681095406360424,-0.04328621908127217,1169,,random_same_count,True,,3845481911,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
hub_outgoing_remove,,0.7243816254416962,0.657243816254417,-0.06713780918727918,1331,82;422;494;318;377;407;128;102;305;160,target,True,,44,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,0,0.7243816254416962,0.6828621908127208,-0.04151943462897534,1331,,random_same_count,True,,1891672586,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,1,0.7243816254416962,0.6894876325088339,-0.03489399293286222,1331,,random_same_count,True,,1125470444,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,2,0.7243816254416962,0.6925795053003534,-0.03180212014134276,1331,,random_same_count,True,,1268944254,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,3,0.7243816254416962,0.6846289752650176,-0.039752650176678506,1331,,random_same_count,True,,2285944471,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,4,0.7243816254416962,0.6890459363957597,-0.035335689045936425,1331,,random_same_count,True,,3340008654,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,5,0.7243816254416962,0.6780035335689046,-0.046378091872791516,1331,,random_same_count,True,,757221085,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,6,0.7243816254416962,0.6841872791519434,-0.040194346289752714,1331,,random_same_count,True,,3931203060,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,7,0.7243816254416962,0.6713780918727915,-0.05300353356890464,1331,,random_same_count,True,,2564202175,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,8,0.7243816254416962,0.6969964664310954,-0.02738515901060079,1331,,random_same_count,True,,4036350581,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,9,0.7243816254416962,0.6996466431095406,-0.024734982332155542,1331,,random_same_count,True,,4284962567,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,10,0.7243816254416962,0.678886925795053,-0.0454946996466431,1331,,random_same_count,True,,1257536361,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,11,0.7243816254416962,0.6978798586572438,-0.026501766784452374,1331,,random_same_count,True,,466850198,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,12,0.7243816254416962,0.6992049469964664,-0.02517667844522975,1331,,random_same_count,True,,2266725638,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,13,0.7243816254416962,0.7058303886925795,-0.01855123674911663,1331,,random_same_count,True,,2745821454,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,14,0.7243816254416962,0.6969964664310954,-0.02738515901060079,1331,,random_same_count,True,,4202596276,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,15,0.7243816254416962,0.6943462897526502,-0.030035335689045928,1331,,random_same_count,True,,3601369907,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,16,0.7243816254416962,0.6868374558303887,-0.037544169611307465,1331,,random_same_count,True,,2979660621,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,17,0.7243816254416962,0.6872791519434629,-0.03710247349823326,1331,,random_same_count,True,,4062301928,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,18,0.7243816254416962,0.6921378091872792,-0.03224381625441697,1331,,random_same_count,True,,1329571845,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,19,0.7243816254416962,0.6824204946996466,-0.041961130742049546,1331,,random_same_count,True,,2698922307,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,0,0.7243816254416962,0.726148409893993,0.0017667844522968323,251,8;35;103;153;166;199;252;466;470;499,ei_matched,True,,2084453577,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,1,0.7243816254416962,0.7217314487632509,-0.0026501766784452485,259,30;117;124;243;284;321;333;401;413;487,ei_matched,True,,1051751523,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,2,0.7243816254416962,0.7252650176678446,0.0008833922261484162,209,21;111;116;123;161;216;306;428;460;463,ei_matched,True,,1364849815,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,3,0.7243816254416962,0.7190812720848057,-0.005300353356890497,479,29;96;121;190;253;336;381;449;452;488,ei_matched,True,,1886681303,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,4,0.7243816254416962,0.7265901060070671,0.0022084805653709294,318,6;27;149;343;345;375;376;411;436;484,ei_matched,True,,746657985,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,5,0.7243816254416962,0.7181978798586572,-0.006183745583038913,279,6;17;110;117;168;368;389;425;457;465,ei_matched,True,,1051258994,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,6,0.7243816254416962,0.7137809187279152,-0.010600706713780994,265,74;233;267;279;332;345;382;414;468;493,ei_matched,True,,1320827432,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,7,0.7243816254416962,0.7243816254416962,0.0,152,148;229;310;340;380;384;385;406;412;495,ei_matched,True,,3025695348,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,8,0.7243816254416962,0.7265901060070671,0.0022084805653709294,264,32;33;84;131;182;204;331;425;434;486,ei_matched,True,,1560854950,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,9,0.7243816254416962,0.7234982332155477,-0.0008833922261484162,169,23;208;260;314;348;362;366;431;480;481,ei_matched,True,,440384649,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,10,0.7243816254416962,0.7265901060070671,0.0022084805653709294,252,9;66;212;241;289;332;372;432;475;479,ei_matched,True,,3247395810,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,11,0.7243816254416962,0.7208480565371025,-0.0035335689045936647,254,18;43;63;65;91;281;388;421;431;438,ei_matched,True,,3046360896,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,12,0.7243816254416962,0.7080388692579506,-0.016342756183745588,314,62;72;191;216;270;286;367;412;435;472,ei_matched,True,,2565655728,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,13,0.7243816254416962,0.723939929328622,-0.0004416961130742081,345,81;104;117;170;293;345;394;405;430;441,ei_matched,True,,3275954045,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,14,0.7243816254416962,0.7252650176678446,0.0008833922261484162,188,32;110;119;158;166;230;263;416;471;499,ei_matched,True,,3854016755,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,15,0.7243816254416962,0.7204063604240283,-0.003975265017667873,208,20;116;177;178;286;340;342;403;424;456,ei_matched,True,,3934300208,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,16,0.7243816254416962,0.7270318021201413,0.0026501766784451375,157,88;101;163;239;253;320;354;419;448;454,ei_matched,True,,1530656876,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,17,0.7243816254416962,0.7186395759717314,-0.005742049469964705,293,32;69;97;120;174;199;333;403;452;453,ei_matched,True,,1042958547,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,18,0.7243816254416962,0.7265901060070671,0.0022084805653709294,198,49;181;228;248;270;332;363;401;405;436,ei_matched,True,,2594263001,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
ei_matched_outgoing_control,19,0.7243816254416962,0.7137809187279152,-0.010600706713780994,402,23;54;124;169;237;242;257;439;451;482,ei_matched,True,,711562727,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
degree_matched_outgoing_control,0,0.7243816254416962,0.715547703180212,-0.008833922261484162,951,45;81;152;237;286;290;355;379;394;482,degree_matched,True,,262736581,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,193.403564453125,178.6904754638672,14.713099670410156
degree_matched_outgoing_control,1,0.7243816254416962,0.7111307420494699,-0.013250883392226243,938,18;45;99;152;156;268;286;290;379;394,degree_matched,True,,1457103627,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,193.403564453125,178.9178924560547,14.485685729980469
degree_matched_outgoing_control,2,0.7243816254416962,0.708922261484099,-0.015459363957597172,1015,29;81;99;121;156;237;286;290;435;482,degree_matched,True,,1128367105,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,193.403564453125,179.5213623046875,13.882203674316406
degree_matched_outgoing_control,3,0.7243816254416962,0.7142226148409894,-0.010159010600706786,968,29;81;143;152;156;237;355;379;394;482,degree_matched,True,,4189352502,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,193.403564453125,179.0406036376953,14.362982177734375
degree_matched_outgoing_control,4,0.7243816254416962,0.7115724381625441,-0.012809187279152034,973,29;99;121;143;156;355;379;394;435;482,degree_matched,True,,1855010362,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,193.403564453125,178.80111694335938,14.602452087402344
