intervention,repeat_id,baseline_acc,intervention_acc,delta_acc,removed_edges,target_neurons,control_type,available,unavailable_reason,seed,split,checkpoint,mean_target_expected_out_degree,mean_control_expected_out_degree,mean_abs_degree_gap
baseline,,0.7221731448763251,0.7221731448763251,0.0,0,,baseline,True,,45,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
top_prob_edges_remove,,0.7221731448763251,0.7208480565371025,-0.0013250883392226243,50,,target,True,,45,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,0,0.7221731448763251,0.7221731448763251,0.0,50,,random_same_count,True,,1495041450,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,1,0.7221731448763251,0.7217314487632509,-0.0004416961130742081,50,,random_same_count,True,,3168395674,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,2,0.7221731448763251,0.7226148409893993,0.0004416961130742081,50,,random_same_count,True,,3835536373,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,3,0.7221731448763251,0.723939929328622,0.0017667844522968323,50,,random_same_count,True,,1055132018,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,4,0.7221731448763251,0.7226148409893993,0.0004416961130742081,50,,random_same_count,True,,2818447467,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,5,0.7221731448763251,0.7234982332155477,0.0013250883392226243,50,,random_same_count,True,,34394967,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,6,0.7221731448763251,0.723939929328622,0.0017667844522968323,50,,random_same_count,True,,3536333320,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,7,0.7221731448763251,0.7257067137809188,0.0035335689045936647,50,,random_same_count,True,,4138929350,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,8,0.7221731448763251,0.7208480565371025,-0.0013250883392226243,50,,random_same_count,True,,1021383544,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
random_edges_same_as_top_prob,9,0.7221731448763251,0.7252650176678446,0.0030918727915194566,50,,random_same_count,True,,1461576429,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_45_260616083948/checkpoints/best.pt,,,
